n,beta,Lambda_eV,env_solar,rho_solar_kgm3,lambda_solar_m,lambda_lab_m,beta_eff_sun,beta_eff_earth,alpha_sun_earth,pass_cassini,pass_EotWash_Yukawa,pass_Ephemerides_Yukawa,pass_all,skipped_optional_gates
1.0,0.01,0.00825404185268019,SolarWind_1AU,8.36310962975e-21,8180477142806606.0,7154091293.917067,4.9256916407628134e-11,1.5005075414256912e-07,1.4782074907404178e-17,True,True,True,True,False
1.0,0.01,0.021544346900318867,SolarWind_1AU,8.36310962975e-21,2.714013282866792e+16,23734922131.780617,5.421680078373368e-10,1.651599904767244e-06,1.790889260223984e-15,True,True,True,True,False
1.0,0.01,0.05623413251903491,SolarWind_1AU,8.36310962975e-21,9.004203509149152e+16,78744665878.20688,5.967611660659772e-09,1.817906388418004e-05,2.1697118723022347e-13,True,True,True,True,False
1.0,0.01,0.14677992676220736,SolarWind_1AU,8.36310962975e-21,2.987298601152557e+17,261248904455.7604,6.568515371184974e-08,0.00020009589656138662,2.628665944549013e-11,True,True,True,True,False
1.0,0.01,0.3831186849557293,SolarWind_1AU,8.36310962975e-21,9.910874319289105e+17,866737947493.4519,7.229926582843818e-07,0.002202443870366025,3.18470149711615e-09,True,True,True,True,False
1.0,0.01,1.0,SolarWind_1AU,8.36310962975e-21,3.288102158078211e+18,2875551463804.7993,7.95793804831757e-06,0.024242171306220327,3.858353948232063e-07,True,True,True,True,False
1.0,0.01778279410038923,1e-10,SolarWind_1AU,8.36310962975e-21,675220.0071161927,0.5905016895788634,5.967611660659771e-31,1.817906388418004e-27,2.1697118723022344e-57,True,True,True,True,False
1.0,0.01778279410038923,2.6101572156825333e-10,SolarWind_1AU,8.36310962975e-21,2240157.922551237,1.9590904064582175,6.568515371184907e-30,2.0009589656138455e-26,2.628665944548959e-55,True,True,True,True,False
1.0,0.01778279410038923,6.812920690579622e-10,SolarWind_1AU,8.36310962975e-21,7432107.2614567,6.4996176783403765,7.22992658284382e-29,2.202443870366025e-25,3.1847014971161504e-53,True,True,True,True,False
1.0,0.01778279410038923,1.7782794100389228e-09,SolarWind_1AU,8.36310962975e-21,24657287.68036609,21.56359391344686,7.957938048317571e-28,2.4242171306220327e-24,3.858353948232064e-51,True,True,True,True,False
1.0,0.01778279410038923,4.641588833612773e-09,SolarWind_1AU,8.36310962975e-21,81804771.42806584,71.5409129391705,8.759256024969305e-27,2.668321665525419e-23,4.674502525061931e-49,True,True,True,True,False
